,treatment
GSM1267256,Norm1
GSM1267257,Norm2
GSM1267258,Norm3
GSM1267259,Norm4
GSM1267260,Norm5
GSM1267261,Norm6
GSM1267262,Norm8
GSM1267263,IPF1
GSM1267264,IPF2
GSM1267265,IPF3
GSM1267266,IPF4
GSM1267267,IPF5
GSM1267268,IPF6
GSM1267269,IPF7
GSM1267270,IPF8
